'id','name','description'
'T1011','Exfiltration Over Other Network Medium','Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel. If the command and control network is a wired Internet connection, the exfiltration may occur, for example, over a WiFi connection, modem, cellular data connection, Bluetooth, or another radio frequency (RF) channel.'
'T1011.001','Exfiltration Over Other Network Medium','Exfiltration Over Bluetooth'
'T1012','Query Registry','Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software.'
'T1013','n/a',
'T1014','Rootkit','Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system information.'
'T1015','Accessibility Features',
'T1016','System Network Configuration Discovery','Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems. Several operating system administration utilities exist that can be used to gather this information. Examples include Arp, ipconfig/ifconfig, nbtstat, and route.'
'T1016','System Network Configuration Discovery','n/a'
'T1016.001','System Network Configuration Discovery','Internet Connection Discovery'
'T1017','n/a',
'T1018','Remote System Discovery','Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system. Functionality could exist within remote access tools to enable this, but utilities available on the operating system could also be used such as Ping or net view using Net.'
'T1020','Automated Exfiltration','Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.'
'T1020.001','Automated Exfiltration','Traffic Duplication'
'T1021','Remote Services','Adversaries may use Valid Accounts to log into a service that accepts remote connections, such as telnet, SSH, and VNC. The adversary may then perform actions as the logged-on user.'
'T1021.001','Remote Services','Remote Desktop Protocol'
'T1021.002','Remote Services','SMB/Windows Admin Shares'
'T1021.003','Remote Services','Distributed Component Object Model'
'T1021.004','Remote Services','SSH'
'T1021.005','Remote Services','VNC'
'T1021.006','Remote Services','Windows Remote Management'
'T1022','Data Encrypted',
'T1025','Data from Removable Media','Adversaries may search connected removable media on computers they have compromised to find files of interest. Sensitive data can be collected from any removable media (optical disk drive, USB memory, etc.) connected to the compromised system prior to Exfiltration. Interactive command shells may be in use, and common functionality within cmd may be used to gather information.'
'T1026','Multiband Communication','n/a'
'T1027','Obfuscated Files or Information','Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit. This is common behavior that can be used across different platforms and the network to evade defenses.'
'T1027.001','Obfuscated Files or Information','Binary Padding'
'T1027.002','Obfuscated Files or Information','Software Packing'
'T1027.003','Obfuscated Files or Information','Steganography'
'T1027.004','Obfuscated Files or Information','Compile After Delivery'
'T1027.005','Obfuscated Files or Information','Indicator Removal from Tools'
'T1027.006','Obfuscated Files or Information','HTML Smuggling'
'T1028','Windows Remote Management',
'T1029','Scheduled Transfer','Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals. This could be done to blend traffic patterns with normal activity or availability.'
'T1030','Data Transfer Size Limits','An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds. This approach may be used to avoid triggering network data transfer threshold alerts.'
'T1031','Modify Existing Service',
'T1033','System Owner/User Discovery','Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. They may do this, for example, by retrieving account usernames or by using OS Credential Dumping. The information may be collected in a number of different ways using other Discovery techniques, because user and username details are prevalent throughout a system and include running process ownership, file/directory ownership, session information, and system logs. Adversaries may use the information from System Owner/User Discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.'
'T1034','Path Interception','n/a'
'T1035','Service Execution',
'T1036','Masquerading','Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools. Masquerading occurs when the name or location of an object, legitimate or malicious, is manipulated or abused for the sake of evading defenses and observation. This may include manipulating file metadata, tricking users into misidentifying the file type, and giving legitimate task or service names.'
'T1036.001','Masquerading','Invalid Code Signature'
'T1036.002','Masquerading','Right-to-Left Override'
'T1036.003','Masquerading','Rename System Utilities'
'T1036.004','Masquerading','Masquerade Task or Service'
'T1036.005','Masquerading','Match Legitimate Name or Location'
'T1036.006','Masquerading','Space after Filename'
'T1036.007','Masquerading','Double File Extension'
'T1037','Boot or Logon Initialization Scripts','Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. Initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server. These scripts can vary based on operating system and whether applied locally or remotely.'
'T1037.001','Boot or Logon Initialization Scripts','Logon Script (Windows)'
'T1037.002','Boot or Logon Initialization Scripts','Login Hook'
'T1037.003','Boot or Logon Initialization Scripts','Network Logon Script'
'T1037.004','Boot or Logon Initialization Scripts','RC Scripts'
'T1037.005','Boot or Logon Initialization Scripts','Startup Items'
'T1039','Data from Network Shared Drive','Adversaries may search network shares on computers they have compromised to find files of interest. Sensitive data can be collected from remote systems via shared network drives (host shared directory, network file server, etc.) that are accessible from the current system prior to Exfiltration. Interactive command shells may be in use, and common functionality within cmd may be used to gather information.'
'T1040','Network Sniffing','Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network. Network sniffing refers to using the network interface on a system to monitor or capture information sent over a wired or wireless connection. An adversary may place a network interface into promiscuous mode to passively access data in transit over the network, or use span ports to capture a larger amount of data.'
'T1041','Exfiltration Over C2 Channel','Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.'
'T1042','Change Default File Association',
'T1043','Commonly Used Port','n/a'
'T1046','Network Service Discovery','Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation. Common methods to acquire this information include port and/or vulnerability scans using tools that are brought onto a system.'
'T1047','Windows Management Instrumentation','Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads. WMI is an administration feature that provides a uniform environment to access Windows system components. The WMI service enables both local and remote access, though the latter is facilitated by Remote Services such as Distributed Component Object Model (DCOM) and Windows Remote Management (WinRM). Remote WMI over DCOM operates using port 135, whereas WMI over WinRM operates over port 5985 when using HTTP and 5986 for HTTPS.'
'T1048','Exfiltration Over Alternative Protocol','Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.'
'T1048.001','Exfiltration Over Alternative Protocol','Exfiltration Over Symmetric Encrypted Non-C2 Protocol'
'T1048.002','Exfiltration Over Alternative Protocol','Exfiltration Over Asymmetric Encrypted Non-C2 Protocol'
'T1048.003','Exfiltration Over Alternative Protocol','Exfiltration Over Unencrypted Non-C2 Protocol'
'T1049','System Network Connections Discovery','Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network.'
'T1050','New Service',
'T1051','Shared Webroot','n/a'
'T1052','Exfiltration Over Physical Medium','Adversaries may attempt to exfiltrate data via a physical medium, such as a removable drive. In certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a physical medium or device introduced by a user. Such media could be an external hard drive, USB drive, cellular phone, MP3 player, or other removable storage and processing device. The physical medium or device could be used as the final exfiltration point or to hop between otherwise disconnected systems.'
'T1052.001','Exfiltration Over Physical Medium','Exfiltration over USB'
'T1053','Scheduled Task/Job','Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code. Utilities exist within all major operating systems to schedule programs or scripts to be executed at a specified date and time. A task can also be scheduled on a remote system, provided the proper authentication is met (ex: RPC and file and printer sharing in Windows environments). Scheduling a task on a remote system typically may require being a member of an admin or otherwise privileged group on the remote system.'
'T1053.002','Scheduled Task/Job','At'
'T1053.003','Scheduled Task/Job','Cron'
'T1053.004','Scheduled Task/Job','Launchd'
'T1053.005','Scheduled Task/Job','Scheduled Task'
'T1053.006','Scheduled Task/Job','Systemd Timers'
'T1053.007','Scheduled Task/Job','Container Orchestration Job'
'T1055','Process Injection','Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges. Process injection is a method of executing arbitrary code in the address space of a separate live process. Running code in the context of another process may allow access to the process''s memory, system/network resources, and possibly elevated privileges. Execution via process injection may also evade detection from security products since the execution is masked under a legitimate process.'
'T1055.001','Process Injection','Dynamic-link Library Injection'
'T1055.002','Process Injection','Portable Executable Injection'
'T1055.003','Process Injection','Thread Execution Hijacking'
'T1055.004','Process Injection','Asynchronous Procedure Call'
'T1055.005','Process Injection','Thread Local Storage'
'T1055.008','Process Injection','Ptrace System Calls'
'T1055.009','Process Injection','Proc Memory'
'T1055.011','Process Injection','Extra Window Memory Injection'
'T1055.012','Process Injection','Process Hollowing'
'T1055.013','Process Injection','Process Doppelgänging'
'T1055.014','Process Injection','VDSO Hijacking'
'T1055.015','Process Injection','ListPlanting'
'T1056','Input Capture','Adversaries may use methods of capturing user input to obtain credentials or collect information. During normal system usage, users often provide credentials to various different locations, such as login pages/portals or system dialog boxes. Input capture mechanisms may be transparent to the user (e.g. Credential API Hooking) or rely on deceiving the user into providing input into what they believe to be a genuine service (e.g. Web Portal Capture).'
'T1056.001','Input Capture','Keylogging'
'T1056.002','Input Capture','GUI Input Capture'
'T1056.003','Input Capture','Web Portal Capture'
'T1056.004','Input Capture','Credential API Hooking'
'T1057','Process Discovery','Adversaries may attempt to get information about running processes on a system. Information obtained could be used to gain an understanding of common software/applications running on systems within the network. Adversaries may use the information from Process Discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.'
'T1059','Command and Scripting Interpreter','Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. Most systems come with some built-in command-line interface and scripting capabilities, for example, macOS and Linux distributions include some flavor of Unix Shell while Windows installations include the Windows Command Shell and PowerShell.'
'T1059.001','Command and Scripting Interpreter','PowerShell'
'T1059.002','Command and Scripting Interpreter','AppleScript'
'T1059.003','Command and Scripting Interpreter','Windows Command Shell'
'T1059.004','Command and Scripting Interpreter','Unix Shell'
'T1059.005','Command and Scripting Interpreter','Visual Basic'
'T1059.006','Command and Scripting Interpreter','Python'
'T1059.007','Command and Scripting Interpreter','JavaScript'
'T1059.008','Command and Scripting Interpreter','Network Device CLI'
'T1060','Registry Run Keys / Startup Folder',
'T1061','Graphical User Interface','n/a'
'T1062','Hypervisor','n/a'
'T1063','Security Software Discovery',
'T1064','Scripting','n/a'
'T1065','Uncommonly Used Port',
'T1068','Exploitation for Privilege Escalation','Adversaries may exploit software vulnerabilities in an attempt to elevate privileges. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. Security constructs such as permission levels will often hinder access to information and use of certain techniques, so adversaries will likely need to perform privilege escalation to include use of software exploitation to circumvent those restrictions.'
'T1068','Exploitation for Privilege Escalation','n/a'
'T1069','Permission Groups Discovery','Adversaries may attempt to discover group and permission settings. This information can help adversaries determine which user accounts and groups are available, the membership of users in particular groups, and which users and groups have elevated permissions.'
'T1069.001','Permission Groups Discovery','Local Groups'
'T1069.002','Permission Groups Discovery','Domain Groups'
'T1069.003','Permission Groups Discovery','Cloud Groups'
'T1070','Indicator Removal','Adversaries may delete or modify artifacts generated within systems to remove evidence of their presence or hinder defenses. Various artifacts may be created by an adversary or something that can be attributed to an adversary’s actions. Typically these artifacts are used as defensive indicators related to monitored events, such as strings from downloaded files, logs that are generated from user actions, and other data analyzed by defenders. Location, format, and type of artifact (such as command or login history) are often specific to each platform.'
'T1070.001','Indicator Removal on Host','Clear Windows Event Logs'
'T1070.002','Indicator Removal on Host','Clear Linux or Mac System Logs'
'T1070.003','Indicator Removal on Host','Clear Command History'
'T1070.004','Indicator Removal on Host','File Deletion'
'T1070.005','Indicator Removal on Host','Network Share Connection Removal'
'T1070.006','Indicator Removal on Host','Timestomp'
'T1071','Application Layer Protocol','Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.'
'T1071.001','Application Layer Protocol','Web Protocols'
'T1071.002','Application Layer Protocol','File Transfer Protocols'
'T1071.003','Application Layer Protocol','Mail Protocols'
'T1071.004','Application Layer Protocol','DNS'
'T1072','Software Deployment Tools','Adversaries may gain access to and use third-party software suites installed within an enterprise network, such as administration, monitoring, and deployment systems, to move laterally through the network. Third-party applications and software deployment systems may be in use in the network environment for administration purposes (e.g., SCCM, HBSS, Altiris, etc.).'
'T1074','Data Staged','Adversaries may stage collected data in a central location or directory prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as Archive Collected Data. Interactive command shells may be used, and common functionality within cmd and bash may be used to copy data into a staging location.'
'T1074.001','Data Staged','Local Data Staging'
'T1074.002','Data Staged','Remote Data Staging'
'T1075','Pass the Hash',
'T1076','Remote Desktop Protocol',
'T1077','Windows Admin Shares',
'T1078','Valid Accounts','Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Compromised credentials may be used to bypass access controls placed on various resources on systems within the network and may even be used for persistent access to remote systems and externally available services, such as VPNs, Outlook Web Access, network devices, and remote desktop. Compromised credentials may also grant an adversary increased privilege to specific systems or access to restricted areas of the network. Adversaries may choose not to use malware or tools in conjunction with the legitimate access those credentials provide to make it harder to detect their presence.'
'T1078.001','Valid Accounts','Default Accounts'
'T1078.002','Valid Accounts','Domain Accounts'
'T1078.003','Valid Accounts','Local Accounts'
'T1078.004','Valid Accounts','Cloud Accounts'
'T1080','Taint Shared Content','Adversaries may deliver payloads to remote systems by adding content to shared storage locations, such as network drives or internal code repositories. Content stored on network drives or in other shared locations may be tainted by adding malicious programs, scripts, or exploit code to otherwise valid files. Once a user opens the shared tainted content, the malicious portion can be executed to run the adversary''s code on a remote system. Adversaries may use tainted shared content to move laterally.'
'T1081','Credentials in Files',
'T1082','System Information Discovery','An adversary may attempt to get detailed information about the operating system and hardware, including version, patches, hotfixes, service packs, and architecture. Adversaries may use the information from System Information Discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.'
'T1083','File and Directory Discovery','Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system. Adversaries may use the information from File and Directory Discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.'
'T1084','WMI Event Subscription',
'T1085','Rundll32',
'T1086','PowerShell',
'T1087','Account Discovery','Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment. This information can help adversaries determine which accounts exist, which can aid in follow-on behavior such as brute-forcing, spear-phishing attacks, or account takeovers (e.g., Valid Accounts).'
'T1087.001','Account Discovery','Local Account'
'T1087.002','Account Discovery','Domain Account'
'T1087.003','Account Discovery','Email Account'
'T1087.004','Account Discovery','Cloud Account'
'T1088','Bypass User Account Control',
'T1090','Proxy','Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirection, including HTRAN, ZXProxy, and ZXPortMap. Adversaries use these types of proxies to manage command and control communications, reduce the number of simultaneous outbound network connections, provide resiliency in the face of connection loss, or to ride over existing trusted communications paths between victims to avoid suspicion. Adversaries may chain together multiple proxies to further disguise the source of malicious traffic.'
'T1090.001','Proxy','Internal Proxy'
'T1090.002','Proxy','External Proxy'
'T1090.003','Proxy','Multi-hop Proxy'
'T1090.004','Proxy','Domain Fronting'
'T1091','Replication Through Removable Media','Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying malware to removable media and taking advantage of Autorun features when the media is inserted into a system and executes. In the case of Lateral Movement, this may occur through modification of executable files stored on removable media or by copying malware and renaming it to look like a legitimate file to trick users into executing it on a separate system. In the case of Initial Access, this may occur through manual manipulation of the media, modification of systems used to initially format the media, or modification to the media''s firmware itself.'
'T1092','Communication Through Removable Media','Adversaries can perform command and control between compromised hosts on potentially disconnected networks using removable media to transfer commands from system to system. Both systems would need to be compromised, with the likelihood that an Internet-connected system was compromised first and the second through lateral movement by Replication Through Removable Media. Commands and files would be relayed from the disconnected system to the Internet-connected system to which the adversary has direct access.'
'T1095','Non-Application Layer Protocol','Adversaries may use an OSI non-application layer protocol for communication between host and C2 server or among infected hosts within a network. The list of possible protocols is extensive. Specific examples include use of network layer protocols, such as the Internet Control Message Protocol (ICMP), transport layer protocols, such as the User Datagram Protocol (UDP), session layer protocols, such as Socket Secure (SOCKS), as well as redirected/tunneled protocols, such as Serial over LAN (SOL).'
'T1098','Account Manipulation','Adversaries may manipulate accounts to maintain access to victim systems. Account manipulation may consist of any action that preserves adversary access to a compromised account, such as modifying credentials or permission groups. These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials.'
'T1098.001','Account Manipulation','Additional Cloud Credentials'
'T1098.002','Account Manipulation','Additional Email Delegate Permissions'
'T1098.003','Account Manipulation','Additional Cloud Roles'
'T1098.004','Account Manipulation','SSH Authorized Keys'
'T1098.005','Account Manipulation','Device Registration'
'T1102','Web Service','Adversaries may use an existing, legitimate external Web service as a means for relaying data to/from a compromised system. Popular websites and social media acting as a mechanism for C2 may give a significant amount of cover due to the likelihood that hosts within a network are already communicating with them prior to a compromise. Using common services, such as those offered by Google or Twitter, makes it easier for adversaries to hide in expected noise. Web service providers commonly use SSL/TLS encryption, giving adversaries an added level of protection.'
'T1102.001','Web Service','Dead Drop Resolver'
'T1102.002','Web Service','Bidirectional Communication'
'T1102.003','Web Service','One-Way Communication'
'T1104','Multi-Stage Channels','Adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions. Use of multiple stages may obfuscate the command and control channel to make detection more difficult.'
'T1105','Ingress Tool Transfer','Adversaries may transfer tools or other files from an external system into a compromised environment. Tools or files may be copied from an external adversary-controlled system to the victim network through the command and control channel or through alternate protocols such as ftp. Once present, adversaries may also transfer/spread tools between victim devices within a compromised environment (i.e. Lateral Tool Transfer).'
'T1106','Native API','Adversaries may interact with the native OS application programming interface (API) to execute behaviors. Native APIs provide a controlled means of calling low-level OS services within the kernel, such as those involving hardware/devices, memory, and processes. These native APIs are leveraged by the OS during system boot (when other system components are not yet initialized) as well as carrying out tasks and requests during routine operations.'
'T1108','Redundant Access','n/a'
'T1110','Brute Force','Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.'
'T1110.001','Brute Force','Password Guessing'
'T1110.002','Brute Force','Password Cracking'
'T1110.003','Brute Force','Password Spraying'
'T1110.004','Brute Force','Credential Stuffing'
'T1111','Multi-Factor Authentication Interception','Adversaries may target multi-factor authentication (MFA) mechanisms, (i.e., smart cards, token generators, etc.) to gain access to credentials that can be used to access systems, services, and network resources. Use of MFA is recommended and provides a higher level of security than usernames and passwords alone, but organizations should be aware of techniques that could be used to intercept and bypass these security mechanisms.'
'T1112','Modify Registry','Adversaries may interact with the Windows Registry to hide configuration information within Registry keys, remove information as part of cleaning up, or as part of other techniques to aid in persistence and execution.'
'T1113','Screen Capture','Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation. Screen capturing functionality may be included as a feature of a remote access tool used in post-compromise operations. Taking a screenshot is also typically possible through native utilities or API calls, such as CopyFromScreen, xwd, or screencapture.'
'T1114','Email Collection','Adversaries may target user email to collect sensitive information. Emails may contain sensitive data, including trade secrets or personal information, that can prove valuable to adversaries. Adversaries can collect or forward email from mail servers or clients.'
'T1114.001','Email Collection','Local Email Collection'
'T1114.002','Email Collection','Remote Email Collection'
'T1114.003','Email Collection','Email Forwarding Rule'
'T1115','Clipboard Data','Adversaries may collect data stored in the clipboard from users copying information within or between applications.'
'T1119','Automated Collection','Once established within a system or network, an adversary may use automated techniques for collecting internal data. Methods for performing this technique could include use of a Command and Scripting Interpreter to search for and copy information fitting set criteria such as file type, location, or name at specific time intervals. In cloud-based environments, adversaries may also use cloud APIs, command line interfaces, or extract, transform, and load (ETL) services to automatically collect data. This functionality could also be built into remote access tools.'
'T1120','Peripheral Device Discovery','Adversaries may attempt to gather information about attached peripheral devices and components connected to a computer system. Peripheral devices could include auxiliary resources that support a variety of functionalities such as keyboards, printers, cameras, smart card readers, or removable storage. The information may be used to enhance their awareness of the system and network environment or may be used for further actions.'
'T1123','Audio Capture','An adversary can leverage a computer''s peripheral devices (e.g., microphones and webcams) or applications (e.g., voice and video call services) to capture audio recordings for the purpose of listening into sensitive conversations to gather information.'
'T1124','System Time Discovery','An adversary may gather the system time and/or time zone from a local or remote system. The system time is set and stored by the Windows Time Service within a domain to maintain time synchronization between systems and services in an enterprise network.'
'T1125','Video Capture','An adversary can leverage a computer''s peripheral devices (e.g., integrated cameras or webcams) or applications (e.g., video call services) to capture video recordings for the purpose of gathering information. Images may also be captured from devices or applications, potentially in specified intervals, in lieu of video files.'
'T1127','Trusted Developer Utilities Proxy Execution','Adversaries may take advantage of trusted developer utilities to proxy execution of malicious payloads. There are many utilities used for software development related tasks that can be used to execute code in various forms to assist in development, debugging, and reverse engineering. These utilities may often be signed with legitimate certificates that allow them to execute on a system and proxy execution of malicious code through a trusted process that effectively bypasses application control solutions.'
'T1127.001','Trusted Developer Utilities Proxy Execution','MSBuild'
'T1129','Shared Modules','Adversaries may execute malicious payloads via loading shared modules. The Windows module loader can be instructed to load DLLs from arbitrary local paths and arbitrary Universal Naming Convention (UNC) network paths. This functionality resides in NTDLL.dll and is part of the Windows Native API which is called from functions like CreateProcess, LoadLibrary, etc. of the Win32 API.'
'T1132','Data Encoding','Adversaries may encode data to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data encoding system. Use of data encoding may adhere to existing protocol specifications and includes use of ASCII, Unicode, Base64, MIME, or other binary-to-text and character encoding systems. Some data encoding systems may also result in data compression, such as gzip.'
'T1132','Data Encoding','n/a'
'T1132.001','Data Encoding','Standard Encoding'
'T1132.002','Data Encoding','Non-Standard Encoding'
'T1133','External Remote Services','Adversaries may leverage external-facing remote services to initially access and/or persist within a network. Remote services such as VPNs, Citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations. There are often remote service gateways that manage connections and credential authentication for these services. Services such as Windows Remote Management and VNC can also be used externally.'
'T1134','Access Token Manipulation','Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls. Windows uses access tokens to determine the ownership of a running process. A user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process. When this occurs, the process also takes on the security context associated with the new token.'
'T1134','Token Impersonation/Theft','Adversaries may duplicate then impersonate another user''s existing token to escalate privileges and bypass access controls. For example, an adversary can duplicate an existing token using DuplicateToken or DuplicateTokenEx. The token can then be used with ImpersonateLoggedOnUser to allow the calling thread to impersonate a logged on user''s security context, or with SetThreadToken to assign the impersonated token to a thread.'
'T1134.001','Access Token Manipulation','Token Impersonation/Theft'
'T1134.002','Access Token Manipulation','Create Process with Token'
'T1134.003','Access Token Manipulation','Make and Impersonate Token'
'T1134.004','Access Token Manipulation','Parent PID Spoofing'
'T1134.005','Access Token Manipulation','SID-History Injection'
'T1135','Create Process with Token','Adversaries may create a new process with an existing token to escalate privileges and bypass access controls. Processes can be created with the token and resulting security context of another user using features such as CreateProcessWithTokenW and runas.'
'T1136','Make and Impersonate Token','Adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls. For example, if an adversary has a username and password but the user is not logged onto the system the adversary can then create a logon session for the user using the LogonUser function. The function will return a copy of the new session''s access token and the adversary can use SetThreadToken to assign the token to a thread.'
'T1136.001','Create Account','Local Account'
'T1136.002','Create Account','Domain Account'
'T1136.003','Create Account','Cloud Account'
'T1137','Parent PID Spoofing','Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges. New processes are typically spawned directly from their parent, or calling, process unless explicitly specified. One way of explicitly assigning the PPID of a new process is via the CreateProcess API call, which supports a parameter that defines the PPID to use. This functionality is used by Windows features such as User Account Control (UAC) to correctly set the PPID after a requested elevated process is spawned by SYSTEM (typically via svchost.exe or consent.exe) rather than the current user context.'
'T1137.001','Office Application Startup','Office Template Macros'
'T1137.002','Office Application Startup','Office Test'
'T1137.003','Office Application Startup','Outlook Forms'
'T1137.004','Office Application Startup','Outlook Home Page'
'T1137.005','Office Application Startup','Outlook Rules'
'T1137.006','Office Application Startup','Add-ins'
'T1138','SID-History Injection','Adversaries may use SID-History Injection to escalate privileges and bypass access controls. The Windows security identifier (SID) is a unique value that identifies a user or group account. SIDs are used by Windows security in both security descriptors and access tokens. An account can hold additional SIDs in the SID-History Active Directory attribute , allowing inter-operable account migration between domains (e.g., all values in SID-History are included in access tokens).'
'T1140','Deobfuscate/Decode Files or Information','Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis. They may require separate mechanisms to decode or deobfuscate that information depending on how they intend to use it. Methods for doing that include built-in functionality of malware or by using utilities present on the system.'
'T1149','LC_MAIN Hijacking','n/a'
'T1153','Source','n/a'
'T1175','Component Object Model and Distributed COM','n/a'
'T1176','Browser Extensions','Adversaries may abuse Internet browser extensions to establish persistent access to victim systems. Browser extensions or plugins are small programs that can add functionality and customize aspects of Internet browsers. They can be installed directly or through a browser''s app store and generally have access and permissions to everything that the browser can access.'
'T1185','Browser Session Hijacking','Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques.'
'T1187','Forced Authentication','Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept.'
'T1189','Drive-by Compromise','Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. With this technique, the user''s web browser is typically targeted for exploitation, but adversaries may also use compromised websites for non-exploitation behavior such as acquiring Application Access Token.'
